CATEGORY,TITLE,SYSTEM,FREQ,SR,POL/MOD,RADIO,ENC,PIDS,TRACKS
"Unknown","Service 30818","dvbs2",10729,22000,"v",0,0,"P1042:169:134:135","A134:135"
"Unknown","Service 30819","dvbs2",10729,22000,"v",0,0,"P1043:171:146:147","A146:147"
"ARD","tagesschau24","dvbs",10743,22000,"h",0,0,"P100:101:104:102","A102"
"ARD","Einsfestival","dvbs",10743,22000,"h",0,0,"P200:201:204:202:203:206","A202:203:206"
"ARD","EinsPlus","dvbs",10743,22000,"h",0,0,"P300:301:304:302:303:306","A302:303:306"
"ARD","arte","dvbs",10743,22000,"h",0,0,"P400:401:404:402:403:407:408","A402:403:407:408"
"ARD","PHOENIX","dvbs",10743,22000,"h",0,0,"P500:501:504:502:503","A502:503"
"ARD","Test-R","dvbs",10743,22000,"h",0,0,"P600:401:402","A402"
"PRISA TV","LTC","dvbs",10758,22000,"v",0,0,"P1027:163:92","A92"
"Unknown","Service 29862","dvbs",10758,22000,"v",0,0,"P1036:4166","A"
"BetaDigital","ANIXE HD","dvbs2",10773,22000,"h",0,0,"P96:255:259","A259"
"BetaDigital","QVC HD","dvbs2",10773,22000,"h",0,0,"P99:1023:35:1027","A1027"
"BetaDigital","HSE24 HD","dvbs2",10773,22000,"h",0,0,"P100:1279:36:1283","A1283"
"BetaDigital","SES 75","dvbs2",10773,22000,"h",0,0,"P106:2815","A"
"BetaDigital","SOPHIA TV","dvbs2",10773,22000,"h",0,0,"P107:3071:3072","A3072"
"PRISA TV","TAQUILLA X","dvbs",10788,22000,"v",0,0,"P1035:173:132:144","A132:144"
"TXY","TAQUILLA XY","dvbs",10788,22000,"v",0,0,"P1031:160:80:81","A80:81"
"PRISA TV","TAQUILLA X","dvbs",10788,22000,"v",0,0,"P1036:174:136:145","A136:145"
"BetaDigital","HSE24 EXTRA HD","dvbs2",10802,22000,"h",0,0,"P97:511:33:515","A515"
"BetaDigital","1-2-3.tv HD","dvbs2",10802,22000,"h",0,0,"P98:767:34:771","A771"
"BetaDigital","QVC PLUS HD","dvbs2",10802,22000,"h",0,0,"P100:1279:36:1283","A1283"
"Unknown","Service 29953","dvbs2",10817,22000,"v",0,0,"P1027:163:98","A98"
"Unknown","Service 29962","dvbs2",10817,22000,"v",0,0,"P1031:163:98","A98"
"DIGITAL+","C+ RADIOS","dvbs",10847,22000,"v",0,0,"P1076:163:400:262:257:260:256:258:259:261:268:269:263:267:265:266:264","A400:262:257:260:256:258:259:261:268:269:263:267:265:266:264"
"DIGITAL+","C+ PORTADA","dvbs",10847,22000,"v",0,0,"P1083:171:124","A124"
"Unknown","Service 30118","dvbs",10847,22000,"v",0,0,"P1093:163:400:254","A400:254"
"DIGITAL+","CANAL+ GUÍA","dvbs",10847,22000,"v",0,0,"P1096:163:400:254","A400:254"
"Digital +","Service 30122","dvbs",10847,22000,"v",0,0,"P1097:163:400:254","A400:254"
"DIGITAL+","Service 30123","dvbs",10847,22000,"v",0,0,"P1098:163:400:254","A400:254"
"Digital +","Service 30126","dvbs",10847,22000,"v",0,0,"P1029:163:400:254","A400:254"
"DIGITAL+","Service 30127","dvbs",10847,22000,"v",0,0,"P1026:163:400:254","A400:254"
"DIGITAL+","C+ TAQUILLA","dvbs",10847,22000,"v",0,0,"P1099:163:400:254","A400:254"
"DIGITAL+","BAR+","dvbs",10847,22000,"v",0,0,"P1031:163:400:254","A400:254"
"DIGITAL+","C+ TAQUILLA","dvbs",10847,22000,"v",0,0,"P1038:163:400:254","A400:254"
"DIGITAL+","C+ PORTADA","dvbs",10847,22000,"v",0,0,"P1024:171:124","A124"
"DIGITAL+","Service 30151","dvbs",10847,22000,"v",0,0,"P1025:163:400:254","A400:254"
"DIGITAL+","Service 30154","dvbs",10847,22000,"v",0,0,"P1028:163:400:254","A400:254"
"DIGITAL+","Service 30156","dvbs",10847,22000,"v",0,0,"P1030:163:400:254","A400:254"
"DIGITAL +","Service 30158","dvbs",10847,22000,"v",0,0,"P1032:163:400:254","A400:254"
"Digital +","Service 30159","dvbs",10847,22000,"v",0,0,"P1033:163:400:254","A400:254"
"DIGITAL+","CONTRATO","dvbs",10847,22000,"v",0,0,"P1043:163:400:254","A400:254"
"DIGITAL+","TEST TÉCNICO","dvbs",10847,22000,"v",0,0,"P1047","A"
"DIGITAL+","TEST_CSD1","dvbs",10847,22000,"v",0,0,"P1048:163","A"
"DIGITAL+","TEST_CSD2","dvbs",10847,22000,"v",0,0,"P1049:163:400","A400"
"DIGITAL+","TEST_CSD3","dvbs",10847,22000,"v",0,0,"P1050:163","A"
"DIGITAL+","TEST_CSD4","dvbs",10847,22000,"v",0,0,"P1051:163:400:254","A400:254"
"DIGITAL+","TEST_CSD5","dvbs",10847,22000,"v",0,0,"P1052:161:84","A84"
"DIGITAL+","Service 30179","dvbs",10847,22000,"v",0,0,"P1053:163:400:254","A400:254"
"Digital+","Service 30189","dvbs",10847,22000,"v",0,0,"P1063:163:400:254","A400:254"
"Digital +","Service 30190","dvbs",10847,22000,"v",0,0,"P1064:163:400:254","A400:254"
"DIGITAL+","Service 30191","dvbs",10847,22000,"v",0,0,"P1065:163:400:254","A400:254"
"Digital+","Service 30193","dvbs",10847,22000,"v",0,0,"P1067:163:400:254","A400:254"
"Digital+","Service 30194","dvbs",10847,22000,"v",0,0,"P1068:163:400:254","A400:254"
"Contactanos","Service 30195","dvbs",10847,22000,"v",0,0,"P1069:163:400:254","A400:254"
"Unknown","Service 30196","dvbs",10847,22000,"v",0,0,"P1070:163:400:254","A400:254"
"DIGITAL +","Service 30197","dvbs",10847,22000,"v",0,0,"P1071:163:400:254","A400:254"
"PRISA TV","GUÍA FÁCIL","dvbs",10847,22000,"v",0,0,"P1072:163:400:254","A400:254"
"Unknown","Service 30600","dvbs",10876,22000,"v",0,0,"P1024:165:100","A100"
"Unknown","Service 30604","dvbs",10876,22000,"v",0,0,"P1028:165:100","A100"
"Unknown","Service 30616","dvbs",10876,22000,"v",0,0,"P1042:171:124","A124"
"ARD","rbb Brandenburg HD","dvbs2",10891,22000,"h",0,0,"P5300:5311:5314:5312:5313:5316","A5312:5313:5316"
"ARD","rbb Berlin HD","dvbs2",10891,22000,"h",0,0,"P5310:5311:5314:5312:5313:5316","A5312:5313:5316"
"ARD","MDR Sachsen HD","dvbs2",10891,22000,"h",0,0,"P5320:5331:5334:5332:5333:5336","A5332:5333:5336"
"ARD","MDR S-Anhalt HD","dvbs2",10891,22000,"h",0,0,"P5330:5331:5334:5332:5333:5336","A5332:5333:5336"
"ARD","MDR Thüringen HD","dvbs2",10891,22000,"h",0,0,"P5340:5331:5334:5332:5333:5336","A5332:5333:5336"
"ARD","hr-fernsehen HD","dvbs2",10891,22000,"h",0,0,"P5350:5351:5354:5352:5353:5356","A5352:5353:5356"
"BetaDigital","mediaspar HD","dvbs2",10964,22000,"h",0,0,"P98:767:771","A771"
"BetaDigital","QVC BEAUTY & STYLE HD","dvbs2",10964,22000,"h",0,0,"P101:1535:37:1539","A1539"
"DIGITAL+","Service 30660","dvbs",10979,22000,"v",0,0,"P1034","A"
"SES","SES UHD Demo Channel","dvbs2",10993,22000,"h",0,0,"P256:110:120","A120"
"SES ASTRA","Astra Ultra HD Demo","dvbs2",10993,22000,"h",0,0,"P257:210:220","A220"
"ASTRA","SES","dvbs",11023,22000,"h",0,0,"P2090:2091:2092:2093","A2092:2093"
"ARD","tagesschau24 HD","dvbs2",11052,22000,"h",0,0,"P5400:5401:5404:5402:5406","A5402:5406"
