CATEGORY,TITLE,SYSTEM,FREQ,SR,POL,RADIO,ENC,PIDS,TRACKS
"Unknown","Service 4410","dvbs",10719,27500,"v",0,0,"P1010:169:108","A108"
"CYFRA +","4fun.TV","dvbs",10719,27500,"v",0,0,"P1004:163:516:92","A92"
"Arqiva","Islam TV","dvbs",10723,29900,"h",0,0,"P101:1001:1201","A1201"
"Arqiva","Truth TV","dvbs",10723,29900,"h",0,0,"P102:1002:1202","A1202"
"Arqiva","RTPi","dvbs",10723,29900,"h",0,0,"P103:1003:1103:1203","A1203"
"Arqiva","MTA INTL","dvbs",10723,29900,"h",0,0,"P104:1004:1104:1204:1304:1404:1504:1604:1704","A1104:1204:1304:1404:1504:1604:1704"
"Arqiva","Zagros","dvbs",10723,29900,"h",0,0,"P170:1070:1270:1370","A1270:1370"
"Arqiva","RTB Virgilio","dvbs",10723,29900,"h",0,0,"P173:1073:1273","A1273"
"Arqiva","Ariana Afghanistan","dvbs",10723,29900,"h",0,0,"P174:1074:1274","A1274"
"Arqiva","Andisheh TV","dvbs",10723,29900,"h",0,0,"P175:1075:1275","A1275"
"Arqiva","Hope Channel","dvbs",10723,29900,"h",0,0,"P177:1077:1277","A1277"
"Arqiva","IPN TV","dvbs",10723,29900,"h",0,0,"P178:1078:1278","A1278"
"Arqiva","ESTV","dvbs",10723,29900,"h",0,0,"P179:1079:1279","A1279"
"Cyfrowy Polsat S.A.","xxxVOD1","dvbs",10758,27500,"v",0,0,"P32","A"
"Cyfrowy Polsat S.A.","xxxVOD2","dvbs",10758,27500,"v",0,0,"P32","A"
"SkyItalia","Real Time +1","dvbs",10775,29900,"h",0,0,"P271:2516:2517:2518","A2517:2518"
"CYFRA +","POLONIA1","dvbs",10796,27500,"v",0,0,"P1006:165:100","A100"
"CYFRA +","TELE5","dvbs",10796,27500,"v",0,0,"P1005:164:96","A96"
"RRSat","BVN","dvbs",10815,27500,"h",0,0,"P1011:2011:3011","A3011"
"RRSat","Rojhelat","dvbs",10815,27500,"h",0,0,"P1022:2022:3022","A3022"
"RRSat","KURDsat","dvbs",10815,27500,"h",0,0,"P1018:2018:3018:4018","A3018:4018"
"RRSat","HCTV","dvbs",10815,27500,"h",0,0,"P1070:2070:3070","A3070"
"RRSat","Somalisat","dvbs",10815,27500,"h",0,0,"P1072:2072:3072","A3072"
"RRSat","CNL","dvbs",10815,27500,"h",0,0,"P1012:2012:3012","A3012"
"RRSat","MKTV sat","dvbs",10815,27500,"h",0,0,"P1019:2019:3019","A3019"
"RRSat","Nasch TV","dvbs",10815,27500,"h",0,0,"P1014:2014:3014","A3014"
"RRSat","Soyuz TV","dvbs",10815,27500,"h",0,0,"P1013:2013:3013","A3013"
"RRSat","Vozrojdenie.tv","dvbs",10815,27500,"h",0,0,"P1008:2008:3008","A3008"
"RRSat","Fashion TV","dvbs",10815,27500,"h",0,0,"P1015:2015:3015:4015","A3015:4015"
"RRSat","VTV4","dvbs",10815,27500,"h",0,0,"P1021:2021:3021","A3021"
"RRSat","Thai Global Network","dvbs",10815,27500,"h",0,0,"P1020:2020:3020","A3020"
"RRSat","3ABN International","dvbs",10815,27500,"h",0,0,"P1010:2010:3010","A3010"
"RRSat","The Word Network","dvbs",10815,27500,"h",0,0,"P1073:2073:3073","A3073"
"RRSat","Kanal Hayat","dvbs",10815,27500,"h",0,0,"P1076:2076:3076","A3076"
"RRSat","Armenia TV","dvbs",10815,27500,"h",0,0,"P1075:2075:3075","A3075"
"RRSat","TVK","dvbs",10815,27500,"h",0,0,"P1037:2037:3037","A3037"
"SkyItalia","Nuvolari","dvbs",10853,29900,"h",0,0,"P278:3116:3012:3117","A3117"
"SNRT","Al Aoula Inter","dvbs",10873,27500,"v",0,0,"P1024:1026:1027","A1027"
"SNRT","Al Aoula Inter+L","dvbs",10873,27500,"v",0,0,"P33:35:36","A36"
"SNRT","Arriadia","dvbs",10873,27500,"v",0,0,"P2560:2562:2563","A2563"
"SNRT","Arrabiaa","dvbs",10873,27500,"v",0,0,"P44:46:47","A47"
"SNRT","Al Maghribia","dvbs",10873,27500,"v",0,0,"P306:308:309","A309"
"SNRT","Assadissa","dvbs",10873,27500,"v",0,0,"P1536:1537:1538","A1538"
"SNRT","Tamazight","dvbs",10873,27500,"v",0,0,"P3840:3841:3842:3843","A3842:3843"
"Medi1","Medi1TV","dvbs",10873,27500,"v",0,0,"P2048:2050:2049","A2049"
"Cyfrowy Polsat S.A.","STARS.TV","dvbs",10911,27500,"v",0,0,"P32:259:515","A515"
"Cyfrowy Polsat S.A.","TVR HD","dvbs",10911,27500,"v",0,0,"P32:262:518","A518"
"Eutelsat","Eutelsat","dvbs",10911,27500,"v",0,0,"P32","A"
"Cyfrowy Polsat S.A.","TVR HD","dvbs",10911,27500,"v",0,0,"P32:262:518","A518"
"Globecast UK","Noursat","dvbs",10949,27500,"v",0,0,"P5198:5101:5111","A5111"
"Globecast UK","Al Hiwar","dvbs",10949,27500,"v",0,0,"P266:6501:6511","A6511"
"Globecast UK","DMC TV","dvbs",10949,27500,"v",0,0,"P264:6801:6811:6812:6813:6814","A6811:6812:6813:6814"
"Globecast UK","Miracle TV","dvbs",10949,27500,"v",0,0,"P6998:6901:6911","A6911"
"Globecast UK","iLike TV","dvbs",10949,27500,"v",0,0,"P7198:7101:111","A111"
"Globecast UK","Al Forat","dvbs",10949,27500,"v",0,0,"P268:7201:7211","A7211"
"Globecast UK","Al Fady","dvbs",10949,27500,"v",0,0,"P7398:7301:7311","A7311"
"Globecast UK","Sat 7 Pars","dvbs",10949,27500,"v",0,0,"P7898:7801:7811","A7811"
"Globecast UK","Velayat TV","dvbs",10949,27500,"v",0,0,"P7998:7901:7911","A7911"
"Globecast UK","Karbala Satellite Channel","dvbs",10949,27500,"v",0,0,"P6398:6301:6311:6312","A6311:6312"
"Globecast UK","Al Maaref","dvbs",10949,27500,"v",0,0,"P6698:6601:6611","A6611"
"Globecast UK","Ahl E Bait","dvbs",10949,27500,"v",0,0,"P6298:6201:6211","A6211"
"RAI","Rai 1","dvbs",10992,27500,"v",0,0,"P1104:512:576:650:694","A650:694"
"RAI","Rai 2","dvbs",10992,27500,"v",0,0,"P1105:513:577:651:695:696","A651:695:696"
"RAI","Rai 3","dvbs",10992,27500,"v",0,0,"P1106:514:578:652:697","A652:697"
"RAI","Rai News","dvbs",10992,27500,"v",0,0,"P1107:520:690","A690"
"Telespazio","Test_Enc 01","dvbs",11013,27500,"h",0,0,"P100:101:102","A102"
"Telespazio","Test_Enc 02","dvbs",11013,27500,"h",0,0,"P110:111:112","A112"
"Telespazio","Test_Enc 03","dvbs",11013,27500,"h",0,0,"P120:121:122","A122"
"Telespazio","Test_Enc 04","dvbs",11013,27500,"h",0,0,"P130:131:132","A132"
"GlobeCast","TV CORAN","dvbs",11034,27500,"v",0,0,"P100:120:130","A130"
"GlobeCast","TV TAMAZIGHT","dvbs",11034,27500,"v",0,0,"P200:220:230","A230"
"GlobeCast","Jewish News One","dvbs",11034,27500,"v",0,0,"P300:320:330:331:332:333:335:334:336:337","A330:331:332:333:335:334:336:337"
"GlobeCast","Shanson TV","dvbs",11034,27500,"v",0,0,"P400:420:430","A430"
"GlobeCast","2M Maroc","dvbs",11034,27500,"v",0,0,"P500:520:530","A530"
"GlobeCast","CCTV-News","dvbs",11034,27500,"v",0,0,"P600:620:630","A630"
"GlobeCast","Ganj E Hozour","dvbs",11034,27500,"v",0,0,"P1700:1720:1730","A1730"
"GlobeCast","RTR","dvbs",11034,27500,"v",0,0,"P800:820:830","A830"
"GlobeCast","Rossiya 24","dvbs",11034,27500,"v",0,0,"P1000:1020:1030","A1030"
"GlobeCast","TRT Turk","dvbs",11034,27500,"v",0,0,"P1200:1220:1240:1230","A1230"
