"CATEGORY","TITLE","SYSTEM","FREQ","SR","POL","RADIO","ENC","PIDS","TRACKS"
"???","Opap","dvbs",12265,27500,"v",0,0,"P368:468:130:768","A"
"Arqiva","ANN","dvbs",11727,27500,"v",0,0,"P260:2551:2552","A2552"
"Arqiva","Deepam TV","dvbs",11727,27500,"v",0,0,"P270:2701:2702","A2702"
"Arqiva","NTDTV","dvbs",11727,27500,"v",0,0,"P268:2631:2632","A2632"
"eVision","Duna","dvbs",12207,27500,"h",0,0,"P2713:2103:2501:2203","A2203"
"eVision","Duna HD","dvbs",11958,27500,"v",0,0,"P1713:1103:1501:1203","A1203"
"eVision","M1","dvbs",12207,27500,"h",0,0,"P2711:2111:2501","A"
"eVision","M1 HD","dvbs",11958,27500,"v",0,0,"P1711:1111:1501","A"
"eVision","M2","dvbs",12207,27500,"h",0,0,"P2712:2102:2501:2202","A2202"
"eVision","M2 HD","dvbs",11958,27500,"v",0,0,"P1712:1102:1501:1202","A1202"
"GlobeCast","777","dvbs",11938,27500,"h",0,0,"P109:1009:1109","A1109"
"GlobeCast","777-2","dvbs",11938,27500,"h",0,0,"P124:1024:1124","A1124"
"GlobeCast","CCTV9 DOCUMENTARY","dvbs",11938,27500,"h",0,0,"P111:1011:8190:1111","A1111"
"GlobeCast","Holy God","dvbs",11938,27500,"h",0,0,"P119:1019:1119","A1119"
"GlobeCast","Jaya TV","dvbs",11938,27500,"h",0,0,"P123:1231:1331","A1331"
"GlobeCast","JSTV","dvbs",11938,27500,"h",0,0,"P122:1003:1103","A1103"
"GlobeCast","M6 Suisse","dvbs",12034,27500,"v",0,0,"P5201:2010:2011:2012","A2011:2012"
"GlobeCast","M6 Suisse HD","dvbs",12034,27500,"v",0,0,"P5202:2020:2021:2022","A2021:2022"
"GlobeCast","NET 25 INTERNATIONAL","dvbs",11938,27500,"h",0,0,"P105:1005:1105","A1105"
"Globecast","Phoenix Info News","dvbs",12034,27500,"v",0,0,"P257:3531:3532","A3532"
"GlobeCast","PTV","dvbs",11938,27500,"h",0,0,"P102:1002:1102","A1102"
"GlobeCast","W9 Suisse","dvbs",12034,27500,"v",0,0,"P5203:2030:2031","A2031"
"GlobeCast","Walf TV","dvbs",11938,27500,"h",0,0,"P101:1001:1101","A1101"
"GlobeCast","YAARL TV","dvbs",11938,27500,"h",0,0,"P107:1007:1107","A1107"
"GlobeCast UK","CCTV-4","dvbs",11996,27500,"v",0,0,"P3998:3901:3999:3911","A3911"
"GlobeCast UK","CCTV-A","dvbs",11996,27500,"v",0,0,"P4298:4201:3999:4211","A4211"
"GlobeCast UK","CCTV-E","dvbs",11996,27500,"v",0,0,"P4098:4001:3999:4011","A4011"
"GlobeCast UK","CCTV-R","dvbs",11996,27500,"v",0,0,"P4198:4101:3999:4111","A4111"
"Harmonic","Parlamento","dvbs",12054,27500,"h",0,0,"P65:4129:4130","A4130"
"KabelKiosk","KabelKiosk -  InfoKanal","dvbs",12360,27500,"h",0,0,"P2012:1121:1122","A1122"
"OTE","?????","dvbs",12149,27500,"v",0,0,"P305:405:505","A505"
"OTE","4E","dvbs",12149,27500,"v",0,0,"P312:412:512","A512"
"RRSat","!ana bintizarek","dvbs",11919,27500,"v",0,0,"P1023:2023:3023","A3023"
"RRSat","Angel TV","dvbs",11919,27500,"v",0,0,"P1036:2036:3036","A3036"
"RRSat","anta oana obs","dvbs",11919,27500,"v",0,0,"P1024:2024:3024","A3024"
"RRSat","DIVINE TV","dvbs",11919,27500,"v",0,0,"P1014:2014:3014","A3014"
"RRSat","NLM TV","dvbs",11919,27500,"v",0,0,"P1017:2017:3017","A3017"
"Satlink","Apostolic Oneness Network","dvbs",11900,27500,"h",0,0,"P256:512:63","A63"
"Telefonica Spain","Real Madrid TV","dvbs",12054,27500,"h",0,0,"P32:1113:1123","A1123"
"TS Pro","TF1 Suisse","dvbs",12034,27500,"v",0,0,"P200:210:230:220:221:222","A220:221:222"
"TSA","Record News","dvbs",12054,27500,"h",0,0,"P1029:1024:1040:1056","A1040:1056"
"Unknown","EbS","dvbs",11900,27500,"h",0,0,"P233:200:201:202:203:204:205:206:207:208:209:210:211:212:213:214:215:216:217:218:219:220","A201:202:203:204:205:206:207:208:209:210:211:212:213:214:215:216:217:218:219:220"
"Unknown","EbS+","dvbs",11900,27500,"h",0,0,"P433:400:401:402:403:404:405:406:407:408:409:410:411:412:413:414:415:416:417:418:419:420","A401:402:403:404:405:406:407:408:409:410:411:412:413:414:415:416:417:418:419:420"
"Unknown","Pentagon Channel","dvbs",11804,27500,"v",0,0,"P5008:810:800:802:804:806","A800:802:804:806"
"Unknown","Program-11","dvbs",11919,27500,"v",0,0,"P1026:2026:3026","A3026"
"Unknown","Program-9","dvbs",11919,27500,"v",0,0,"P1025:2025:3025","A3025"
"Unknown","TF1 HD  Suisse","dvbs",12034,27500,"v",0,0,"P800:810:820:821:822","A820:821:822"
