"CATEGORY","TITLE","SYSTEM","FREQ","SR","MOD","RADIO","ENC","PIDS","TRACKS"
"1","1-2-3.tv","dvbc",122000,6900,"256qam",0,0,"P801:802:810:803","A803"
"3","3sat","dvbc",370000,6900,"256qam",0,0,"P200:210:230:220:221:222:225","A220:221:222:225"
"A","AJ Children","dvbc",826000,6900,"64qam",0,0,"P501:502:503","A503"
"A","Al Auola Inter","dvbc",818000,6900,"64qam",0,0,"P701:702:703","A703"
"A","Al Jazeera","dvbc",570000,6900,"256qam",0,0,"P701:702:703","A703"
"A","Al Jazeera International","dvbc",570000,6900,"256qam",0,0,"P201:202:203","A203"
"A","arirang","dvbc",826000,6900,"64qam",0,0,"P301:302:303","A303"
"A","arte","dvbc",362000,6900,"256qam",0,0,"P400:401:404:402:403","A402:403"
"A","Astro TV","dvbc",546000,6900,"256qam",0,0,"P1201:1202:1203","A1203"
"B","Bayerisches FS Nord","dvbc",346000,6900,"256qam",0,0,"P500:201:204:202:203:206","A202:203:206"
"B","Bayerisches FS Süd","dvbc",346000,6900,"256qam",0,0,"P200:201:204:202:203:206","A202:203:206"
"B","BBC PARLIAMENT","dvbc",610000,6900,"64qam",0,0,"P301:302:310:303","A303"
"B","BBC World News","dvbc",570000,6900,"256qam",0,0,"P901:902:903","A903"
"B","Bibel TV","dvbc",466000,6900,"256qam",0,0,"P901:902:910:903","A903"
"B","Bloomberg","dvbc",554000,6900,"256qam",0,0,"P401:402:410:403","A403"
"B","BR-alpha","dvbc",362000,6900,"256qam",0,0,"P1400:1401:1404:1402:1403:1406","A1402:1403:1406"
"B","BVN","dvbc",810000,6900,"64qam",0,0,"P1101:1102:1112:1110:1103","A1103"
"B","bw family","dvbc",130000,6900,"256qam",0,0,"P501:502:503:504","A503:504"
"C","Camera dei Deputati","dvbc",818000,6900,"64qam",0,0,"P201:202:210:203","A203"
"C","CCTV 9","dvbc",818000,6900,"64qam",0,0,"P1201:1202:1203","A1203"
