CATEGORY,TITLE,SYSTEM,FREQ,SR,MOD,RADIO,ENC,PIDS,TRACKS
"Digital Free","arte HD","dvbc",114000,6900,"256qam",0,0,"P105:6661:6664:6662:6663","A6662:6663"
"ARD","Das Erste HD","dvbc",330000,6900,"256qam",0,0,"P5100:5101:5104:5102:5103","A5102:5103"
"ARD","BR-alpha","dvbc",330000,6900,"256qam",0,0,"P1400:1401:1404:1402:1403:1406","A1402:1403:1406"
"ARD","tagesschau24","dvbc",330000,6900,"256qam",0,0,"P100:101:104:102","A102"
"ARD","Einsfestival","dvbc",330000,6900,"256qam",0,0,"P200:201:204:202:203:206","A202:203:206"
"ARD","EinsPlus","dvbc",330000,6900,"256qam",0,0,"P300:301:304:302:303:306","A302:303:306"
"ARD","arte","dvbc",330000,6900,"256qam",0,0,"P400:401:404:402:403","A402:403"
"ARD","PHOENIX","dvbc",330000,6900,"256qam",0,0,"P500:501:504:502:503","A502:503"
"ARD","Das Erste","dvbc",338000,6900,"256qam",0,0,"P100:101:104:102:103:106","A102:103:106"
"ARD","Bayerisches FS Süd","dvbc",338000,6900,"256qam",0,0,"P200:201:204:202:203:206","A202:203:206"
"ARD","hr-fernsehen","dvbc",338000,6900,"256qam",0,0,"P300:301:304:302:303","A302:303"
"ARD","WDR Köln","dvbc",338000,6900,"256qam",0,0,"P600:601:604:602:603","A602:603"
"ARD","SWR Fernsehen RP","dvbc",338000,6900,"256qam",0,0,"P800:801:804:802:803:806","A802:803:806"
"SKY","Sky Select","dvbc",378000,6900,"256qam",0,0,"P103:2815:2816:2819","A2816:2819"
"Digital Free","Super RTL","dvbc",394000,6900,"256qam",0,0,"P111:1501:1504:1502","A1502"
"Digital Free","RTL II","dvbc",394000,6900,"256qam",0,0,"P112:1601:1604:1602","A1602"
"Digital Free","VOX","dvbc",394000,6900,"256qam",0,0,"P113:1701:1704:1702","A1702"
"Digital Free","n-tv","dvbc",394000,6900,"256qam",0,0,"P114:1901:1904:1902","A1902"
"Digital Free","SPORT1","dvbc",394000,6900,"256qam",0,0,"P116:2501:2504:2502","A2502"
"Digital Free","1-2-3.tv","dvbc",402000,6900,"256qam",0,0,"P103:1101:1104:1102","A1102"
"Digital Free","BBC World News","dvbc",402000,6900,"256qam",0,0,"P115:401:402","A402"
"Digital Free","RTL NITRO","dvbc",402000,6900,"256qam",0,0,"P105:981:984:982","A982"
"Digital Free","CNN","dvbc",402000,6900,"256qam",0,0,"P110:2251:2252","A2252"
"Digital Free","Servus TV","dvbc",402000,6900,"256qam",0,0,"P107:2371:2374:2372","A2372"
"Digital Free","EuroNews","dvbc",410000,6900,"256qam",0,0,"P111:2601:2622","A2622"
"Italienisch","EuroNews","dvbc",410000,6900,"256qam",0,0,"P106:2601:1202","A1202"
"Div. Sprachen","EuroNews","dvbc",410000,6900,"256qam",0,0,"P107:2601:1212","A1212"
"Div. Sprachen","EuroNews","dvbc",410000,6900,"256qam",0,0,"P108:2601:1222","A1222"
"Russisch","EuroNews","dvbc",410000,6900,"256qam",0,0,"P109:2601:1232","A1232"
"Digital Free","Channel21","dvbc",410000,6900,"256qam",0,0,"P114:2391:2394:2392","A2392"
"Digital Free","Juwelo TV","dvbc",410000,6900,"256qam",0,0,"P113:2361:2362","A2362"
"Digital Free","EuroNews","dvbc",410000,6900,"256qam",0,0,"P110:2601:2602","A2602"
"Digital Free","Bloomberg","dvbc",426000,6900,"256qam",0,0,"P102:421:422","A422"
"Digital Free","Bibel TV","dvbc",426000,6900,"256qam",0,0,"P106:731:734:732","A732"
"Digital Free","ERF eins","dvbc",426000,6900,"256qam",0,0,"P108:2411:2412","A2412"
"Digital Free","Das Vierte","dvbc",426000,6900,"256qam",0,0,"P107:2931:2934:2932","A2932"
"Digital Free","sonnenklar.TV","dvbc",426000,6900,"256qam",0,0,"P105:2271:2274:2272","A2272"
"Digital Free","sixx","dvbc",442000,6900,"256qam",0,0,"P104:1181:1184:1182","A1182"
"Digital Free","Tele 5","dvbc",442000,6900,"256qam",0,0,"P115:411:414:412","A412"
"Digital Free","Eurosport","dvbc",442000,6900,"256qam",0,0,"P113:2921:2924:2922","A2922"
"Digital Free","ProSieben","dvbc",442000,6900,"256qam",0,0,"P101:2201:2204:2202:2203","A2202:2203"
"Digital Free","kabel eins","dvbc",442000,6900,"256qam",0,0,"P109:2301:2304:2302","A2302"
"Digital Free","N24","dvbc",442000,6900,"256qam",0,0,"P114:2801:2804:2802","A2802"
"ZDFvision","ZDF HD","dvbc",450000,6900,"256qam",0,0,"P6100:6110:6130:6120:6121:6123","A6120:6121:6123"
"ZDFvision","ZDF","dvbc",450000,6900,"256qam",0,0,"P100:110:130:120:121:122:125","A120:121:122:125"
"ZDFvision","3sat","dvbc",450000,6900,"256qam",0,0,"P200:210:230:220:221:222:225","A220:221:222:225"
"ZDFvision","KiKA","dvbc",450000,6900,"256qam",0,0,"P300:310:330:320:321:325","A320:321:325"
"ZDFvision","ZDFinfo","dvbc",450000,6900,"256qam",0,0,"P600:610:630:620:621:622:625","A620:621:622:625"
