CATEGORY,TITLE,SYSTEM,FREQ,SR,POL/MOD,RADIO,ENC,PIDS,TRACKS
"Unitymedia","RTL Television","dvbc",114000,6900,"256qam",0,0,"P258:523:528:524:525","A524:525"
"Unitymedia","SAT.1","dvbc",114000,6900,"256qam",0,0,"P259:533:538:534:536","A534:536"
"Unitymedia","ProSieben","dvbc",114000,6900,"256qam",0,0,"P260:543:548:544:546","A544:546"
"Unitymedia","VOX","dvbc",114000,6900,"256qam",0,0,"P261:553:558:554","A554"
"Unitymedia","RTL2","dvbc",114000,6900,"256qam",0,0,"P262:563:568:564","A564"
"Unitymedia","kabel eins","dvbc",114000,6900,"256qam",0,0,"P263:573:578:574","A574"
"Unitymedia","Super RTL","dvbc",114000,6900,"256qam",0,0,"P265:583:588:584","A584"
"Unitymedia","n-tv","dvbc",114000,6900,"256qam",0,0,"P266:593:598:594","A594"
"Unitymedia","ProSieben Maxx","dvbc",114000,6900,"256qam",0,0,"P267:613:618:614","A614"
"Unitymedia","SIXX","dvbc",114000,6900,"256qam",0,0,"P268:623:628:624","A624"
"Unitymedia","VIVA/COMEDY CENTRAL","dvbc",122000,6900,"256qam",0,0,"P257:513:519:518:514","A514"
"Unitymedia","Channel21","dvbc",122000,6900,"256qam",0,0,"P258:523:528:524","A524"
"Unitymedia","1-2-3.tv","dvbc",122000,6900,"256qam",0,0,"P259:533:538:534","A534"
"Unitymedia","DMAX","dvbc",122000,6900,"256qam",0,0,"P260:543:548:544","A544"
"Unitymedia","CNN","dvbc",122000,6900,"256qam",0,0,"P261:553:554","A554"
"Unitymedia","sonnenklar.TV","dvbc",122000,6900,"256qam",0,0,"P262:563:568:564","A564"
"Unitymedia","TV5MONDE Europe","dvbc",122000,6900,"256qam",0,0,"P264:583:588:584","A584"
"Unitymedia","Sat.1 Gold","dvbc",122000,6900,"256qam",0,0,"P266:603:608:604","A604"
"Unitymedia","RTL NITRO","dvbc",122000,6900,"256qam",0,0,"P267:613:618:614","A614"
"Unitymedia","Infokanal","dvbc",130000,6900,"256qam",0,0,"P101:102:103","A103"
"Unitymedia","HD Campus TV","dvbc",130000,6900,"256qam",0,0,"P401:36:402:403","A403"
"Unitymedia","bw family","dvbc",130000,6900,"256qam",0,0,"P301:302:303:304","A303:304"
"Unitymedia","SF1","dvbc",130000,6900,"256qam",0,0,"P2901:2902:2908:2903:2904","A2903:2904"
"Unitymedia","SF2","dvbc",130000,6900,"256qam",0,0,"P3001:3002:3006:3003:3004","A3003:3004"
"Unitymedia","SWR BW HD","dvbc",138000,6900,"256qam",0,0,"P257:513:518:514:515:516","A514:515:516"
"ARD","Das Erste","dvbc",346000,6900,"256qam",0,0,"P100:101:104:102:103:106","A102:103:106"
"ARD","Bayerisches FS Süd","dvbc",346000,6900,"256qam",0,0,"P200:201:204:202:203:206","A202:203:206"
"ARD","hr-fernsehen","dvbc",346000,6900,"256qam",0,0,"P300:301:304:302:303","A302:303"
"ARD","Bayerisches FS Nord","dvbc",346000,6900,"256qam",0,0,"P500:201:204:202:203:206","A202:203:206"
